,Restaurant_Name,Ratings,Cusines,Location,Delivery_review_no,Restaurant_link,Price_for_one
674,The Little Calicut,3.9,Biryani,Koramangala,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,380
675,The Licious Kitchen,4.2,Snacks,Koramangala,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,350
676,Ipsha's Kitchen,4.0,North Indian,Rajajinagar,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
677,Anda Ka Funda,4.6,Chinese,Tavarekere,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,149
678,Biye Badir Bhoj,4.0,Bengali,Koramangala,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
679,Raj Restaurant,4.6,Biryani,Majestic,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
680,New Kadai Restaurant,4.0,Biryani,Rajajinagar,3,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
681,Aamchi Dilli,3.4,Chaat,Jayanagar,10,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
682,Dum Pukht Biryani by Aromas,4.6,Biryani,Jayanagar,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
683,Sea Spice Multicuisine Restaurant,4.6,Chinese,Malleswaram,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
684,China Bistro,4.4,Chinese,Indiranagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,750
685,Empire Juices and Desserts,2.8,Juices,Ashok Nagar,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
686,Cheesecakes By CakeZone,4.5,Bakery,Domlur layout,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
687,Buffalo Wild Wings,4.1,Continental,Indiranagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1200
688,China Social,3.0,Asian,Indiranagar,10,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,700
689,Sakkath Dosa,4.1,South Indian,Basavanagudi,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
690,Bakhlava JI,3.9,Desserts,Tavarekere,10,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
691,Frosty Crumble,4.8,Ice Cream,Ashok Nagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,450
692,Sri Ramji sweets,3.9,Sweets,R.T. Nagar,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,750
693,Madras Meal Company,3.6,South Indian,Sheshadripuram,10,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,350
694,Chai Galli,4.1,Snacks,Church Street,7,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
695,Samudra Resturant,4.0,Chinese,Sheshadripuram,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,750
696,Desserted,4.5,Snacks,Vasanth Nagar,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
697,Nammura Donne Biriyani,2.6,South Indian,Basavanagudi,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,350
698,Lagom,4.6,Desserts,Frazer Town,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
699,Kamat Hotel,4.0,South Indian,Basavanagudi,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
700,Vegan kitchen - By Infinitea,4.3,Italian,Indiranagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
701,SLAY Coffee Bar,4.1,Desserts,St. Marks Road,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
702,Himadri Ice Cream,4.3,Beverages,Malleswaram,8,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
703,La Fresca Pasta,4.0,Pastas,Koramangala,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
704,Airlines Hotel,4.5,North Indian,Lavelle Road,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
705,Celebration Special by CakeZone,3.9,Snacks,Domlur layout,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
706,Happy Orange,4.6,Beverages,Koramangala,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
707,Shyvan Fast Food,4.3,Chinese,Ashok Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
708,ITC Gardenia - Flavours,4.1,Continental,Ashok Nagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1000
709,Malleshwaram Thatte Idly Cafe & By2 Coffee Point,4.3,Beverages,Malleswaram,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
710,The Punjabi kitchen,3.8,Bengali,Indiranagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
711,Puliyogare Palace,2.4,Bakery,Indiranagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
712,Hatti Kaapi - Coffee and more,4.3,South Indian,Ashok Nagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,120
713,Shero Home Food - Chettinad,4.3,Chettinad,Rajajinagar,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,350
714,Saarangi Fine Dining,4.3,North Indian,Jayanagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
715,Navarang Momos Corner,4.6,Chinese,Rajajinagar,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
716,ITC Fabelle Chocolates,4.1,Desserts,Ashok Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
717,Ghee and Turmeric,4.2,Tandoor,Vasanth Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
718,QMIN - Snacks & Chai,3.9,Beverages,Vasanth Nagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
719,The Brooklyn Creamery - Healthy Ice Cream,4.3,Ice Cream,Sheshadripuram,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
720,Barbeque House,3.9,Indian,Malleswaram,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
721,Zubaan Arabian Kitchen,3.8,Lebanese,Koramangala,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
722,Satvik Meals,4.4,Chinese,Indiranagar,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
723,Purani Dehli,4.1,Chaat,Sheshadripuram,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
724,Sri Udupi Grand,3.7,South Indian,Ashok Nagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
725,BMD - Burgers. Melts. Dogs : Premium Sandwiches,4.2,Healthy Food,Cunningham Road,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
726,Nomad Pizza- Traveller Series,4.2,Pizzas,Indiranagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,850
727,TART Cafe,4.1,Desserts,Central Bangalore,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,750
728,Lavender Gourmet Burgers & Sandwiches,4.2,Italian,Koramangala,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
729,Indian home food (IHF),4.3,Biryani,Jayanagar,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
730,Sri sai ram juice and chats,4.3,Desserts,Malleswaram,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
731,Megna's Gourmet,5.0,Pizzas,Basavanagudi,10,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
732,Sea Rock,4.3,Chinese,Malleswaram,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,700
733,Pipabu,4.1,Italian,Koramangala,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
734,Krishna Food Centre,4.5,North Indian,Ejipura,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
735,Avocado cafe,4.6,Snacks,Indiranagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
736,New Fish Land,3.6,Chinese,Malleswaram,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
737,Toscano's Crafted Cakes and Desserts,4.3,Bakery,Ashok Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
738,The Bier Library,4.5,North Indian,Koramangala,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
739,Step Right Up,4.6,Fast Food,Central Bangalore,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
740,Bihari Bowl,3.7,Desserts,Koramangala,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
741,ITC Gardenia - Nutmeg The Gourmet Shop,3.8,Desserts,Ashok Nagar,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1000
742,Bite,4.6,Salads,Basavanagudi,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,320
743,Little Black Choux,4.2,Continental,Indiranagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
744,Curry Leaves,4.1,Andhra,Basavanagudi,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
745,Faasos' Signature Wraps & Rolls,4.1,Snacks,Shanti Nagar,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,350
746,Veg Daawat by Behrouz,4.0,Mughlai,Shanti Nagar,6,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
747,Little Cafe,3.8,Chinese,Basavanagudi,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
748,The Meals Junction,3.6,Bengali,Indiranagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
749,Dyce,3.6,Italian,Jayanagar,10,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
750,Cafe Arabica,3.8,Desserts,Frazer Town,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,450
751,The Bake House By Zoheb,4.2,Fast Food,Magrath Road,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
752,ITC Gardenia - Biryani and Pulao Collection,3.8,Biryani,Ashok Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1000
753,US Pizza,3.0,Beverages,Shivaji Nagar,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
754,Chung Wah Express,4.4,Chinese,Ashok Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,350
755,Cheeni kyun? By Mama Keto Craves,4.4,Indian,Indiranagar,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
756,Kudla - Coraltree,3.9,Mangalorean,R.T. Nagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1000
757,Drunken Monkey Rajajinagar,4.0,Beverages,Rajajinagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
758,Havmor Havfunn Ice cream,4.2,Ice Cream Cakes,Basavanagudi,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
759,The Green Path,4.7,Beverages,Malleswaram,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,310
760,Meghalaya Kitchen,4.6,Indian,Rajajinagar,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
761,Infinitea,4.4,French,Ashok Nagar,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1000
762,Abbas Sekh,4.6,Burgers,Indiranagar,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,230
763,RCB Bar & Cafe,4.0,Asian,Church Street,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,750
764,Thanco's Natural Ice Cream,4.5,Desserts,Indiranagar,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,169
765,Apna Ghar,4.0,North Indian,Jayanagar,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
766,South Ruchis Square,4.0,Chinese,Race Course Road,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
767,TANDOOR CAFE,4.6,North Indian,Koramangala,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
768,Giani Ice Cream,4.4,Desserts,Jayanagar,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
769,Kaati Zone Rolls & Wraps,3.6,Bengali,Vasanth Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
770,Sri Sai Cafe,3.7,Chinese,Basavanagudi,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
771,My Khana,4.1,Indian,Tavarekere,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,199
772,Chaat Street Express,3.8,Chaat,Koramangala,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
773,Tibb's Frankie,4.0,Street Food,Koramangala,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,175
774,GFC Kebabs & Biryani,3.0,Biryani,Indiranagar,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
775,Lucknowee,4.0,Biryani,Koramangala,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
776,Myfroyoland - Premium Frozen Yogurt,4.1,Ice Cream,Sheshadripuram,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
777,Firangi Bake,4.6,Pastas,Shanti Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
778,Tandoori Taal,4.4,Indian,Ashok Nagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,700
779,ASEAN - On The Edge,4.3,Thai,Ashok Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1000
780,New mayura restaurant,3.7,Chinese,Mysore Road,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,299
781,Piazza Pizza By Little Italy,3.6,Italian,Jayanagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
782,34 chowringhee Lane,4.6,Snacks,SG Palya,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
783,Dal Chawal Roti Sabji,4.0,North Indian,Shanti Nagar,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
784,Ketogenic Foods,4.4,Desserts,Vasanth Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1200
785,Brunch House,3.7,Pastas,Indiranagar,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,800
786,Hayaan's Cafe And Bakery,4.9,Desserts,Ashok Nagar,10,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1200
787,Carnival De Goa,4.2,Mangalorean,Ulsoor,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
788,Lush - Renaissance Bengaluru Race Course Hotel By Marriott.,3.8,Continental,Race Course Road,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,800
789,Raffaele's Ristorante Pizzeria,4.1,Continental,Koramangala,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,800
790,Super Spoon,4.0,Thai,Malleswaram,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
791,Coorg Dining,3.8,Coastal,Koramangala,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
792,Pocket Chillers By 30 Square,4.6,Beverages,Koramangala,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
793,Candy Cloud Factory,4.7,Waffle,Basavanagudi,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,450
794,Tea Trails,3.1,Indian,Monarch Plaza,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
795,Tipsy Lassi Shop,3.8,Ice Cream,Central Bangalore,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
796,The Chef's Cakes and Bakes,4.6,Bakery,Koramangala,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1000
797,Paffen Cafe,4.6,Snacks,Koramangala,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
798,Eddy's Cafe,4.5,American,Indiranagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
799,ARAKU Coffee,4.4,Beverages,Indiranagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
800,JW Kitchen - JW Marriott,4.1,Continental,Vittal Mallya Road,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1000
801,4th Tea block,4.5,Snacks,Jayanagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
802,Amo La Pasta,4.6,Italian,Indiranagar,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
803,Ujwal Family bar and restaurant,4.2,North Indian,Vasanth Nagar,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
804,McCafe by McDonald's,4.5,Desserts,Halasuru,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
805,Southly Healthy By Adiga's,3.5,Healthy Food,Majestic,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
806,Rolls Zone,4.2,Chinese,Mount Joy Rd,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
807,Dil Dilli,3.9,Punjabi,Koramangala,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
808,Iyengar Bakery And Sweets,3.7,Snacks,Basavanagudi,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
809,Italian Bakehouse,4.4,Beverages,Jayanagar,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1000
810,Dhaba Co.,4.0,North Indian,Ashok Nagar,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,650
811,Mega Biryani,4.6,Hyderabadi,Sheshadripuram,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
812,Akss,4.6,North Indian,Indiranagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,700
813,Yummy's paratha,3.2,Bengali,Indiranagar,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
814,Nuage,4.2,Desserts,Indiranagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,800
815,Tarbouche,3.8,Lebanese,Koramangala,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
816,Minus 30,4.6,Desserts,Shivaji Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
817,Shyam Mishra Juice Center,4.4,Beverages,Jayanagar,10,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,140
818,Goodness To Go,4.4,Italian,Ashok Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,350
819,Haagen Dazs,3.8,Desserts,Koramangala,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
820,Frozen Coast,4.2,Snacks,Malleswaram,10,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
821,India Bistro,4.4,Biryani,Indiranagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,750
822,Sana Kitchen,2.3,Chinese,Rajajinagar,10,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
823,Pure & Sure Organic Cafe,4.4,Continental,Jayanagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,350
